6	125
ST1	EPI_ISL_402119
ST1	EPI_ISL_402120
ST1	EPI_ISL_402121
ST1	EPI_ISL_402123
ST1	EPI_ISL_402124
ST1	EPI_ISL_402125
ST1	EPI_ISL_402128
ST1	EPI_ISL_402129
ST1	EPI_ISL_402130
ST1	EPI_ISL_402132
ST1	EPI_ISL_403928
ST1	EPI_ISL_403929
ST1	EPI_ISL_403930
ST1	EPI_ISL_403931
ST1	EPI_ISL_403962
ST1	EPI_ISL_403963
ST1	EPI_ISL_404227
ST1	EPI_ISL_404228
ST1	EPI_ISL_404253
ST1	EPI_ISL_406538
ST1	EPI_ISL_406716
ST1	EPI_ISL_406717
ST1	EPI_ISL_406798
ST1	EPI_ISL_406800
ST1	EPI_ISL_406970
ST1	EPI_ISL_406973
ST1	EPI_ISL_407079
ST1	EPI_ISL_407084
ST1	EPI_ISL_407313
ST1	EPI_ISL_408431
ST1	EPI_ISL_408479
ST1	EPI_ISL_408486
ST1	EPI_ISL_408488
ST1	EPI_ISL_408514
ST1	EPI_ISL_408515
ST1	EPI_ISL_408976
ST1	EPI_ISL_408978
ST1	EPI_ISL_410044
ST1	EPI_ISL_410218
ST1	EPI_ISL_410486
ST1	EPI_ISL_410531
ST1	EPI_ISL_410532
ST1	EPI_ISL_411902
ST1	EPI_ISL_411915
ST1	EPI_ISL_411927
ST1	EPI_ISL_411950
ST1	EPI_ISL_411953
ST1	EPI_ISL_412026
ST1	EPI_ISL_412459
ST1	EPI_ISL_412872
ST1	EPI_ISL_412899
ST1	EPI_ISL_412900
ST1	EPI_ISL_412965
ST1	EPI_ISL_413564
ST1	EPI_ISL_413567
ST1	EPI_ISL_413568
ST1	EPI_ISL_413576
ST1	EPI_ISL_413578
ST1	EPI_ISL_413580
ST1	EPI_ISL_413581
ST1	EPI_ISL_413585
ST1	EPI_ISL_413586
ST1	EPI_ISL_413590
ST1	EPI_ISL_413606
ST1	EPI_ISL_413608
ST1	EPI_ISL_413610
ST1	EPI_ISL_413613
ST1	EPI_ISL_413614
ST1	EPI_ISL_413615
ST1	EPI_ISL_413616
ST1	EPI_ISL_413618
ST1	EPI_ISL_413619
ST1	EPI_ISL_413620
ST1	EPI_ISL_413621
ST1	EPI_ISL_413622
ST1	EPI_ISL_413623
ST1	EPI_ISL_413692
ST1	EPI_ISL_413693
ST1	EPI_ISL_413694
ST1	EPI_ISL_413753
ST1	EPI_ISL_413850
ST1	EPI_ISL_413852
ST1	EPI_ISL_413861
ST1	EPI_ISL_413866
ST1	EPI_ISL_413868
ST1	EPI_ISL_413869
ST1	EPI_ISL_413871
ST1	EPI_ISL_413872
ST1	EPI_ISL_413874
ST1	EPI_ISL_413875
ST1	EPI_ISL_413879
ST1	EPI_ISL_413880
ST1	EPI_ISL_413882
ST1	EPI_ISL_413883
ST1	EPI_ISL_413884
ST1	EPI_ISL_413888
ST1	EPI_ISL_413893
ST1	EPI_ISL_413898
ST1	EPI_ISL_413902
ST1	EPI_ISL_414024
ST1	EPI_ISL_414026
ST1	EPI_ISL_414040
ST1	EPI_ISL_414041
ST1	EPI_ISL_414042
ST1	EPI_ISL_414043
ST1	EPI_ISL_414044
ST1	EPI_ISL_414426
ST1	EPI_ISL_414427
ST1	EPI_ISL_414431
ST1	EPI_ISL_414432
ST1	EPI_ISL_414458
ST1	EPI_ISL_414459
ST1	EPI_ISL_414462
ST1	EPI_ISL_414479
ST1	EPI_ISL_414481
ST1	EPI_ISL_414487
ST1	EPI_ISL_414498
ST1	EPI_ISL_414504
ST1	EPI_ISL_414506
ST1	EPI_ISL_414508
ST1	EPI_ISL_414510
ST1	EPI_ISL_414533
ST1	EPI_ISL_414538
ST1	EPI_ISL_414540
ST1	EPI_ISL_414541
ST1	EPI_ISL_414542
ST1	EPI_ISL_414547
ST1	EPI_ISL_414550
ST1	EPI_ISL_414553
ST1	EPI_ISL_414574
ST1	EPI_ISL_414687
ST1	EPI_ISL_415148
ST1	EPI_ISL_415490
ST1	EPI_ISL_415493
ST1	EPI_ISL_415494
ST1	EPI_ISL_415504
ST1	EPI_ISL_415513
ST1	EPI_ISL_415516
ST1	EPI_ISL_415522
ST1	EPI_ISL_415528
ST1	EPI_ISL_415538
ST1	EPI_ISL_415582
ST1	EPI_ISL_415583
ST1	EPI_ISL_415628
ST1	EPI_ISL_415638
ST1	EPI_ISL_415659
ST1	EPI_ISL_415711
ST2	EPI_ISL_402127
ST2	EPI_ISL_411955
ST2	EPI_ISL_412898
ST3	EPI_ISL_402131
ST4	EPI_ISL_403932
ST4	EPI_ISL_403933
ST4	EPI_ISL_403935
ST4	EPI_ISL_405839
