9	127
ST1	EPI_ISL_402119
ST1	EPI_ISL_402120
ST1	EPI_ISL_402121
ST1	EPI_ISL_402123
ST1	EPI_ISL_402124
ST1	EPI_ISL_402125
ST1	EPI_ISL_402127
ST1	EPI_ISL_402128
ST1	EPI_ISL_402129
ST1	EPI_ISL_402130
ST1	EPI_ISL_402132
ST1	EPI_ISL_403928
ST1	EPI_ISL_403929
ST1	EPI_ISL_403930
ST1	EPI_ISL_403931
ST1	EPI_ISL_403934
ST1	EPI_ISL_403962
ST1	EPI_ISL_403963
ST1	EPI_ISL_404227
ST1	EPI_ISL_404228
ST1	EPI_ISL_404253|by-EPI_ISL_416362	41-81-96-103-104-112
ST1	EPI_ISL_406538
ST1	EPI_ISL_406595
ST1	EPI_ISL_406716
ST1	EPI_ISL_406717
ST1	EPI_ISL_406798
ST1	EPI_ISL_406800
ST1	EPI_ISL_406970
ST1	EPI_ISL_406973
ST1	EPI_ISL_407079|by-EPI_ISL_406538	74
ST1	EPI_ISL_407084
ST1	EPI_ISL_407313
ST1	EPI_ISL_408431
ST1	EPI_ISL_408479
ST1	EPI_ISL_408486
ST1	EPI_ISL_408488
ST1	EPI_ISL_408514
ST1	EPI_ISL_408515
ST1	EPI_ISL_410044|by-EPI_ISL_416329	14
ST1	EPI_ISL_410218
ST1	EPI_ISL_410486
ST1	EPI_ISL_410531
ST1	EPI_ISL_410532
ST1	EPI_ISL_411902
ST1	EPI_ISL_411915
ST1	EPI_ISL_411927
ST1	EPI_ISL_411950
ST1	EPI_ISL_411953
ST1	EPI_ISL_411955
ST1	EPI_ISL_412026
ST1	EPI_ISL_412459
ST1	EPI_ISL_412862
ST1	EPI_ISL_412872
ST1	EPI_ISL_412898
ST1	EPI_ISL_412899
ST1	EPI_ISL_413558
ST1	EPI_ISL_413559
ST1	EPI_ISL_413561
ST1	EPI_ISL_413564
ST1	EPI_ISL_413568
ST1	EPI_ISL_413580
ST1	EPI_ISL_413581
ST1	EPI_ISL_413582
ST1	EPI_ISL_413590
ST1	EPI_ISL_413606
ST1	EPI_ISL_413608
ST1	EPI_ISL_413610
ST1	EPI_ISL_413613
ST1	EPI_ISL_413614
ST1	EPI_ISL_413615
ST1	EPI_ISL_413616
ST1	EPI_ISL_413618
ST1	EPI_ISL_413619
ST1	EPI_ISL_413620
ST1	EPI_ISL_413621
ST1	EPI_ISL_413622
ST1	EPI_ISL_413623|by-EPI_ISL_413580	14
ST1	EPI_ISL_413692
ST1	EPI_ISL_413693
ST1	EPI_ISL_413694
ST1	EPI_ISL_413753
ST1	EPI_ISL_413851
ST1	EPI_ISL_413852
ST1	EPI_ISL_413857
ST1	EPI_ISL_413861
ST1	EPI_ISL_413866
ST1	EPI_ISL_414040
ST1	EPI_ISL_414041
ST1	EPI_ISL_414042
ST1	EPI_ISL_414043
ST1	EPI_ISL_414044
ST1	EPI_ISL_414426
ST1	EPI_ISL_414432
ST1	EPI_ISL_414458
ST1	EPI_ISL_414462
ST1	EPI_ISL_414467
ST1	EPI_ISL_414479
ST1	EPI_ISL_414481
ST1	EPI_ISL_414487
ST1	EPI_ISL_414498
ST1	EPI_ISL_414508
ST1	EPI_ISL_414510
ST1	EPI_ISL_414541
ST1	EPI_ISL_414542
ST1	EPI_ISL_414553
ST1	EPI_ISL_414687|by-EPI_ISL_414044	74
ST1	EPI_ISL_414692
ST1	EPI_ISL_415148
ST1	EPI_ISL_415493
ST1	EPI_ISL_415494
ST1	EPI_ISL_415516
ST1	EPI_ISL_415522
ST1	EPI_ISL_415583
ST1	EPI_ISL_415711
ST1	EPI_ISL_416044
ST1	EPI_ISL_416046
ST1	EPI_ISL_416047
ST1	EPI_ISL_416320
ST1	EPI_ISL_416329
ST1	EPI_ISL_416336
ST1	EPI_ISL_416337
ST1	EPI_ISL_416340
ST1	EPI_ISL_416345|by-EPI_ISL_413610	43
ST1	EPI_ISL_416347|by-EPI_ISL_417178	43-44
ST1	EPI_ISL_416348|by-EPI_ISL_417178	43-44
ST1	EPI_ISL_416353
ST1	EPI_ISL_416355
ST1	EPI_ISL_416358
ST1	EPI_ISL_416359|by-EPI_ISL_413580	43
ST1	EPI_ISL_416362
ST1	EPI_ISL_416367
ST1	EPI_ISL_416369|by-EPI_ISL_410218	43-44
ST1	EPI_ISL_416370
ST1	EPI_ISL_416374|by-EPI_ISL_414042	43-80
ST1	EPI_ISL_416375
ST1	EPI_ISL_416376
ST1	EPI_ISL_416379
ST1	EPI_ISL_416380
ST1	EPI_ISL_416384
ST1	EPI_ISL_416385|by-EPI_ISL_403962	84-85
ST1	EPI_ISL_416390
ST1	EPI_ISL_416393
