"Genes"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_045512.2,266,21555,orf1ab,plus,43740578,
NC_045512.2,21563,25384,S,plus,43740568,
NC_045512.2,25393,26220,ORF3a,plus,43740569,
NC_045512.2,26245,26472,E,plus,43740570,
NC_045512.2,26523,27191,M,plus,43740571,
NC_045512.2,27202,27387,ORF6,plus,43740572,
NC_045512.2,27394,27759,ORF7a,plus,43740573,
NC_045512.2,27756,27887,ORF7b,plus,43740574,
NC_045512.2,27894,28259,ORF8,plus,43740577,
NC_045512.2,28274,29533,N,plus,43740575,
NC_045512.2,29558,29674,ORF10,plus,43740576,
